"prod","dest","mean","sd"
"TamponApplicators","Soil",0.103017720898492,0.084270705913732
"TamponApplicators","Soil (MP)",0,0
"TamponApplicators","Fresh water",0.00211762689094285,0.00194264544982337
"TamponApplicators","Fresh water (MP)",0,0
"TamponApplicators","Subsurface soil (MP)",0,0
"TamponApplicators","Coastal and ocean water",0.00355804416193961,0.00281801176320397
"TamponApplicators","Coastal and ocean water (MP)",0,0
"Furniture","Soil",0.000265794470974073,7.91658738071465e-05
"Furniture","Soil (MP)",0,0
"Furniture","Fresh water",6.97059156141999e-07,2.18612123389772e-07
"Furniture","Fresh water (MP)",0,0
"Furniture","Subsurface soil (MP)",0,0
"Furniture","Coastal and ocean water",1.41730877658643e-06,4.79261354804856e-07
"Furniture","Coastal and ocean water (MP)",0,0
"FabricCoatings","Soil",0.000269806681695817,0.000153452665424709
"FabricCoatings","Soil (MP)",0.00639715731575766,0.00134557449009435
"FabricCoatings","Fresh water",7.02389084754472e-07,4.25809002797238e-07
"FabricCoatings","Fresh water (MP)",0.000258555112407532,0.000124281159089484
"FabricCoatings","Subsurface soil (MP)",0.000286323340814691,0.000218608489921819
"FabricCoatings","Coastal and ocean water",1.41182427203642e-06,9.14288886596379e-07
"FabricCoatings","Coastal and ocean water (MP)",0.000875575288010655,0.000326610122806871
"Cosmetics","Soil",0,0
"Cosmetics","Soil (MP)",0.332423185768303,0.0562615463338619
"Cosmetics","Fresh water",0,0
"Cosmetics","Fresh water (MP)",0.0120030873912557,0.011128226529785
"Cosmetics","Subsurface soil (MP)",0.101241792828503,0.0610236597010919
"Cosmetics","Coastal and ocean water",0,0
"Cosmetics","Coastal and ocean water (MP)",0.0196415809219485,0.0139032789986031
"ShotgunCartridges","Soil",0.617502860020387,0.221235040374714
"ShotgunCartridges","Soil (MP)",0,0
"ShotgunCartridges","Fresh water",0.0994125314623438,0.0406389031410021
"ShotgunCartridges","Fresh water (MP)",0,0
"ShotgunCartridges","Subsurface soil (MP)",0,0
"ShotgunCartridges","Coastal and ocean water",1.40544798138633e-06,9.32273172578603e-07
"ShotgunCartridges","Coastal and ocean water (MP)",0,0
"OtherOther","Soil",0.000265519374919783,7.57816824126873e-05
"OtherOther","Soil (MP)",0,0
"OtherOther","Fresh water",6.95227718612894e-07,2.08648865877243e-07
"OtherOther","Fresh water (MP)",0,0
"OtherOther","Subsurface soil (MP)",0,0
"OtherOther","Coastal and ocean water",1.41678118926865e-06,4.65348527100995e-07
"OtherOther","Coastal and ocean water (MP)",0,0
"FishingGearOcean","Soil",0,0
"FishingGearOcean","Soil (MP)",0,0
"FishingGearOcean","Fresh water",0,0
"FishingGearOcean","Fresh water (MP)",0,0
"FishingGearOcean","Subsurface soil (MP)",0,0
"FishingGearOcean","Coastal and ocean water",0.0421067815505754,0.014025864157917
"FishingGearOcean","Coastal and ocean water (MP)",0.00739292429600623,0.000912608642339394
"FishingGearInland","Soil",0,0
"FishingGearInland","Soil (MP)",0,0
"FishingGearInland","Fresh water",0,0
"FishingGearInland","Fresh water (MP)",0.00370361010551315,0.000457485823660579
"FishingGearInland","Subsurface soil (MP)",0,0
"FishingGearInland","Coastal and ocean water",0,0
"FishingGearInland","Coastal and ocean water (MP)",0,0
"FishingGearAqua","Soil",0,0
"FishingGearAqua","Soil (MP)",0,0
"FishingGearAqua","Fresh water",0,0
"FishingGearAqua","Fresh water (MP)",0,0
"FishingGearAqua","Subsurface soil (MP)",0,0
"FishingGearAqua","Coastal and ocean water",0,0
"FishingGearAqua","Coastal and ocean water (MP)",0,0
"ApparelPC","Soil",0.000264634121558907,0.000137554337717745
