"prod","dest","mean","sd"
"AgriculturalPipes","Coastal and ocean water (MP)",0,0
"AgriculturalOther","Soil",0.0208794758104898,0.00741684821767218
"AgriculturalOther","Soil (MP)",0.0010079070299921,0.000297536702444569
"AgriculturalOther","Fresh water",1.27802023605306e-07,6.1213346847408e-08
"AgriculturalOther","Fresh water (MP)",0,0
"AgriculturalOther","Subsurface soil (MP)",0,0
"AgriculturalOther","Coastal and ocean water",8.80269049776245e-07,3.82706945477152e-07
"AgriculturalOther","Coastal and ocean water (MP)",0,0
"Household","Soil",0.000177575318732625,4.78057476785396e-05
"Household","Soil (MP)",0.000289506691409157,0.000105554200096525
"Household","Fresh water",1.29128016968652e-07,4.23957510526769e-08
"Household","Fresh water (MP)",2.23347120323091e-05,1.16848643813533e-05
"Household","Subsurface soil (MP)",9.78234397505942e-06,4.66374281362142e-06
"Household","Coastal and ocean water",8.88353959106337e-07,2.63264304604723e-07
"Household","Coastal and ocean water (MP)",0.00012440775407802,5.65996140730211e-05
"TamponApplicators","Soil",0.0801808572702474,0.0660693508985694
"TamponApplicators","Soil (MP)",0,0
"TamponApplicators","Fresh water",0.000722663633889104,0.000656639912574661
"TamponApplicators","Fresh water (MP)",0,0
"TamponApplicators","Subsurface soil (MP)",0,0
"TamponApplicators","Coastal and ocean water",0.00508146090027144,0.00371483407086336
"TamponApplicators","Coastal and ocean water (MP)",0,0
"Furniture","Soil",0.000171050130798434,5.24836416135039e-05
"Furniture","Soil (MP)",0,0
"Furniture","Fresh water",1.28730284210444e-07,4.53273182486733e-08
"Furniture","Fresh water (MP)",0,0
"Furniture","Subsurface soil (MP)",0,0
"Furniture","Coastal and ocean water",8.85969659504571e-07,2.81116109752472e-07
"Furniture","Coastal and ocean water (MP)",0,0
"FabricCoatings","Soil",0.000170801365639949,0.00010113650295342
"FabricCoatings","Soil (MP)",0.00515996835754049,0.00120207456986215
"FabricCoatings","Fresh water",1.30150502437798e-07,8.87020117416005e-08
"FabricCoatings","Fresh water (MP)",0.000297707612576872,0.000143783751479918
"FabricCoatings","Subsurface soil (MP)",0.00027893960204514,0.000213768283576846
"FabricCoatings","Coastal and ocean water",8.9097245126634e-07,5.47320957743878e-07
"FabricCoatings","Coastal and ocean water (MP)",0.0020337816471007,0.00077038448794926
"Cosmetics","Soil",0,0
"Cosmetics","Soil (MP)",0.236063603654318,0.0579024899683161
"Cosmetics","Fresh water",0,0
"Cosmetics","Fresh water (MP)",0.00812902711125274,0.00886681746199237
"Cosmetics","Subsurface soil (MP)",0.10342509901723,0.0617190584734497
"Cosmetics","Coastal and ocean water",0,0
"Cosmetics","Coastal and ocean water (MP)",0.0869370147970357,0.101712370637028
"ShotgunCartridges","Soil",0.615530012170525,0.22280452853643
"ShotgunCartridges","Soil (MP)",0,0
"ShotgunCartridges","Fresh water",0.0997565350945287,0.0406230835047462
"ShotgunCartridges","Fresh water (MP)",0,0
"ShotgunCartridges","Subsurface soil (MP)",0,0
"ShotgunCartridges","Coastal and ocean water",8.80971765794162e-07,5.46374630198782e-07
"ShotgunCartridges","Coastal and ocean water (MP)",0,0
"OtherOther","Soil",0.000171186145998894,5.09736479666051e-05
"OtherOther","Soil (MP)",0,0
"OtherOther","Fresh water",1.28884600483223e-07,4.42727014443561e-08
"OtherOther","Fresh water (MP)",0,0
"OtherOther","Subsurface soil (MP)",0,0
