"prod","dest","mean","sd"
"Furniture","Subsurface soil (MP)",0,0
"Furniture","Coastal and ocean water",3.44034703551157e-07,1.03954818945093e-07
"Furniture","Coastal and ocean water (MP)",0,0
"FabricCoatings","Soil",0.00241240136149664,0.00137053295171114
"FabricCoatings","Soil (MP)",0.00546769353518796,0.00130136105911426
"FabricCoatings","Fresh water",6.53409150416601e-06,3.84041967087323e-06
"FabricCoatings","Fresh water (MP)",0.000237218662324574,0.000140330786046958
"FabricCoatings","Subsurface soil (MP)",0.000562589078547155,0.000378041663016919
"FabricCoatings","Coastal and ocean water",3.45388444461794e-07,2.01344039471483e-07
"FabricCoatings","Coastal and ocean water (MP)",5.5572046304299e-05,8.44279128851786e-05
"Cosmetics","Soil",0,0
"Cosmetics","Soil (MP)",0.0182595071521624,0.00530288893620356
"Cosmetics","Fresh water",0,0
"Cosmetics","Fresh water (MP)",0.0228768310050548,0.0195888981493305
"Cosmetics","Subsurface soil (MP)",0.204940290942717,0.101970153656146
"Cosmetics","Coastal and ocean water",0,0
"Cosmetics","Coastal and ocean water (MP)",0.0062780226806864,0.0137824517922345
"ShotgunCartridges","Soil",0.620611539911524,0.221298725776604
"ShotgunCartridges","Soil (MP)",0,0
"ShotgunCartridges","Fresh water",0.0991439028240614,0.0405504418115283
"ShotgunCartridges","Fresh water (MP)",0,0
"ShotgunCartridges","Subsurface soil (MP)",0,0
"ShotgunCartridges","Coastal and ocean water",3.44449668728911e-07,2.03950994440211e-07
"ShotgunCartridges","Coastal and ocean water (MP)",0,0
