"prod","dest","mean","sd"
"AutomotivePC","Coastal and ocean water",0,0
"AutomotivePC","Coastal and ocean water (MP)",0,0
"EEEPC","Soil",0.000740361336256765,0.000278846458889179
"EEEPC","Soil (MP)",0,0
"EEEPC","Fresh water",4.80616740220892e-06,1.87249736737524e-06
"EEEPC","Fresh water (MP)",0,0
"EEEPC","Subsurface soil (MP)",0,0
"EEEPC","Coastal and ocean water",3.23495412010716e-07,1.23597230598135e-07
"EEEPC","Coastal and ocean water (MP)",0,0
"AgriculturalFilms","Soil",0.00258944234195409,0.000989711477507184
"AgriculturalFilms","Soil (MP)",0.0254567252796816,0.0064920294161977
"AgriculturalFilms","Fresh water",4.76463621278945e-06,2.83004766376633e-06
"AgriculturalFilms","Fresh water (MP)",0,0
"AgriculturalFilms","Subsurface soil (MP)",0,0
"AgriculturalFilms","Coastal and ocean water",3.21467943711944e-07,1.87288661897903e-07
"AgriculturalFilms","Coastal and ocean water (MP)",0,0
"AgriculturalPipes","Soil",0.0305710401353344,0.00987646043007685
"AgriculturalPipes","Soil (MP)",0.00100221401907366,0.000221991823258475
"AgriculturalPipes","Fresh water",4.80302910964956e-06,1.54818417606831e-06
"AgriculturalPipes","Fresh water (MP)",0,0
"AgriculturalPipes","Subsurface soil (MP)",0,0
"AgriculturalPipes","Coastal and ocean water",3.23144398606574e-07,9.97648957375883e-08
"AgriculturalPipes","Coastal and ocean water (MP)",0,0
"AgriculturalOther","Soil",0.0214075891556542,0.00741328092938707
"AgriculturalOther","Soil (MP)",0.00100343052826942,0.000296194499936832
"AgriculturalOther","Fresh water",4.78377053391808e-06,2.04741660769458e-06
"AgriculturalOther","Fresh water (MP)",0,0
"AgriculturalOther","Subsurface soil (MP)",0,0
"AgriculturalOther","Coastal and ocean water",3.2163869678393e-07,1.33479196918996e-07
"AgriculturalOther","Coastal and ocean water (MP)",0,0
"Household","Soil",0.000747287522196365,0.000203272591478634
"Household","Soil (MP)",0.000399632118021479,0.000145086608597005
"Household","Fresh water",4.81299111524176e-06,1.36356103253768e-06
"Household","Fresh water (MP)",9.01643657142516e-06,3.3460074023809e-06
"Household","Subsurface soil (MP)",1.19394009501977e-05,5.29324496593769e-06
"Household","Coastal and ocean water",3.2354560571682e-07,8.9232913023827e-08
"Household","Coastal and ocean water (MP)",8.65225365254684e-06,4.59634434114761e-06
"TamponApplicators","Soil",0.0315773460209051,0.0217987118930618
"TamponApplicators","Soil (MP)",0,0
"TamponApplicators","Fresh water",0.00513090427592895,0.00371502012584386
"TamponApplicators","Fresh water (MP)",0,0
"TamponApplicators","Subsurface soil (MP)",0,0
"TamponApplicators","Coastal and ocean water",3.22187016976322e-07,1.86982947738963e-07
"TamponApplicators","Coastal and ocean water (MP)",0,0
"Furniture","Soil",0.000738793088246064,0.000217308230023522
"Furniture","Soil (MP)",0,0
"Furniture","Fresh water",4.79397168290255e-06,1.48510919518131e-06
"Furniture","Fresh water (MP)",0,0
"Furniture","Subsurface soil (MP)",0,0
"Furniture","Coastal and ocean water",3.22779465579822e-07,9.68791538056765e-08
"Furniture","Coastal and ocean water (MP)",0,0
