"prod","dest","mean","sd"
"HouseholdTextilesPC","Coastal and ocean water (MP)",6.90061339973256e-06,8.0269439808856e-06
"HygieneMedicalTextiles","Soil",0,0
"HygieneMedicalTextiles","Soil (MP)",0,0
"HygieneMedicalTextiles","Fresh water",0,0
"HygieneMedicalTextiles","Fresh water (MP)",0,0
"HygieneMedicalTextiles","Subsurface soil (MP)",0,0
"HygieneMedicalTextiles","Coastal and ocean water",0,0
"HygieneMedicalTextiles","Coastal and ocean water (MP)",0,0
"DisposableCleaningCloths","Soil",0.000903936787094826,0.000443616216403691
"DisposableCleaningCloths","Soil (MP)",0,0
"DisposableCleaningCloths","Fresh water",7.27066146432393e-05,5.80360331719736e-05
"DisposableCleaningCloths","Fresh water (MP)",0,0
"DisposableCleaningCloths","Subsurface soil (MP)",0,0
"DisposableCleaningCloths","Coastal and ocean water",1.83468816511266e-07,1.08369935069105e-07
"DisposableCleaningCloths","Coastal and ocean water (MP)",0,0
"WetWipes","Soil",0.0124167980787069,0.00777631877596357
"WetWipes","Soil (MP)",0,0
"WetWipes","Fresh water",0.00220918647337367,0.00138621762725656
"WetWipes","Fresh water (MP)",0,0
"WetWipes","Subsurface soil (MP)",0,0
"WetWipes","Coastal and ocean water",1.84129604119506e-07,7.3974103081858e-08
"WetWipes","Coastal and ocean water (MP)",0,0
"Tampons","Soil",0.0321796237207873,0.0147002406492384
"Tampons","Soil (MP)",0,0
"Tampons","Fresh water",0.00588006992459891,0.00255282975344732
"Tampons","Fresh water (MP)",0,0
"Tampons","Subsurface soil (MP)",0,0
"Tampons","Coastal and ocean water",1.83069858274959e-07,7.04107756934132e-08
"Tampons","Coastal and ocean water (MP)",0,0
"PantyLiners","Soil",0.022066949684793,0.0176832339549159
"PantyLiners","Soil (MP)",0,0
"PantyLiners","Fresh water",0.00398398577355857,0.00302829624486752
"PantyLiners","Fresh water (MP)",0,0
"PantyLiners","Subsurface soil (MP)",0,0
"PantyLiners","Coastal and ocean water",1.85901629626801e-07,1.09359992293992e-07
"PantyLiners","Coastal and ocean water (MP)",0,0
"SanitaryNapkins","Soil",0.0102933680883731,0.00584035953380848
"SanitaryNapkins","Soil (MP)",0,0
"SanitaryNapkins","Fresh water",0.00181545632319973,0.00101276053098412
"SanitaryNapkins","Fresh water (MP)",0,0
"SanitaryNapkins","Subsurface soil (MP)",0,0
"SanitaryNapkins","Coastal and ocean water",1.84240276923178e-07,7.2415826854007e-08
"SanitaryNapkins","Coastal and ocean water (MP)",0,0
"Agrotextiles","Soil",0.00131091334464295,0.000347767048162462
"Agrotextiles","Soil (MP)",0.0122560739222992,0.00597297604367711
"Agrotextiles","Fresh water",1.8716134859363e-06,8.20483100777073e-07
"Agrotextiles","Fresh water (MP)",0,0
"Agrotextiles","Subsurface soil (MP)",0,0
"Agrotextiles","Coastal and ocean water",1.8378255539686e-07,8.54193330037921e-08
"Agrotextiles","Coastal and ocean water (MP)",0,0
"MobilityTextiles","Soil",0,0
"MobilityTextiles","Soil (MP)",0,0
"MobilityTextiles","Fresh water",0,0
"MobilityTextiles","Fresh water (MP)",0,0
"MobilityTextiles","Subsurface soil (MP)",0,0
"MobilityTextiles","Coastal and ocean water",0,0
"MobilityTextiles","Coastal and ocean water (MP)",0,0
"Geotextiles","Soil",0.0352153416640378,0.0156864880947874
"Geotextiles","Soil (MP)",0,0
"Geotextiles","Fresh water",0,0
"Geotextiles","Fresh water (MP)",0,0
"Geotextiles","Subsurface soil (MP)",0.0121502236469108,0.00578910871950049
"Geotextiles","Coastal and ocean water",0,0
"Geotextiles","Coastal and ocean water (MP)",0,0
"BuildingTextiles","Soil",0.0355004898150846,0.0154696952646741
"BuildingTextiles","Soil (MP)",0,0
"BuildingTextiles","Fresh water",0,0
"BuildingTextiles","Fresh water (MP)",0,0
"BuildingTextiles","Subsurface soil (MP)",0,0
"BuildingTextiles","Coastal and ocean water",0,0
"BuildingTextiles","Coastal and ocean water (MP)",0,0
"TechnicalHouseholdTextiles","Soil",0.000520934405726906,0.00025167255065939
"TechnicalHouseholdTextiles","Soil (MP)",0.000843524284134153,0.000708679852478959
"TechnicalHouseholdTextiles","Fresh water",1.87289814890468e-06,8.83649039515174e-07
"TechnicalHouseholdTextiles","Fresh water (MP)",4.88678295762505e-05,3.40468712656027e-05
"TechnicalHouseholdTextiles","Subsurface soil (MP)",9.10210963377975e-05,4.75165455821881e-05
"TechnicalHouseholdTextiles","Coastal and ocean water",1.82829884374915e-07,8.94475809499861e-08
"TechnicalHouseholdTextiles","Coastal and ocean water (MP)",6.88579552831181e-06,8.26502084600545e-06
"TechnicalClothing","Soil",0.000516342922221118,0.000232120137126288
"TechnicalClothing","Soil (MP)",0.00297480692241554,0.00152029512274744
"TechnicalClothing","Fresh water",1.85644329319417e-06,8.1223482728655e-07
"TechnicalClothing","Fresh water (MP)",0.000322674860307988,0.00015321440024161
"TechnicalClothing","Subsurface soil (MP)",0.00093027365042484,0.000421438854841654
"TechnicalClothing","Coastal and ocean water",1.81992972254465e-07,8.44683660596401e-08
"TechnicalClothing","Coastal and ocean water (MP)",2.00399871545854e-05,1.83932028879595e-05
"OtherTechnicalTextiles","Soil",NA,NA
"OtherTechnicalTextiles","Soil (MP)",NA,NA
"OtherTechnicalTextiles","Fresh water",NA,NA
"OtherTechnicalTextiles","Fresh water (MP)",NA,NA
"OtherTechnicalTextiles","Subsurface soil (MP)",NA,NA
"OtherTechnicalTextiles","Coastal and ocean water",NA,NA
"OtherTechnicalTextiles","Coastal and ocean water (MP)",NA,NA
"Post-consumer processes","Soil",0.00420655029356766,0.00191398328449813
"Post-consumer processes","Soil (MP)",7.0055205561453e-05,3.33685821655228e-05
"Post-consumer processes","Fresh water",0,0
"Post-consumer processes","Fresh water (MP)",1.08822635795988e-05,7.56167995950494e-06
"Post-consumer processes","Subsurface soil (MP)",3.29899692744419e-05,2.37027483305161e-05
"Post-consumer processes","Coastal and ocean water",0,0
"Post-consumer processes","Coastal and ocean water (MP)",1.53402863370881e-07,1.38574013347613e-07
