"country","dest","mean","sd"
"PL","Soil",0.00341916067680547,0.00109722761033808
"PL","Soil (MP)",0.000332434473830378,8.11436022415039e-05
"PL","Subsurface soil (MP)",3.9441026179188e-05,1.64103412349955e-05
"PT","Coastal and ocean water",2.91741780357422e-05,8.0429141743562e-06
"PT","Coastal and ocean water (MP)",1.63811089184833e-05,7.62885396543692e-06
"PT","Fresh water",4.54523186621627e-05,1.76816866271156e-05
"PT","Fresh water (MP)",1.52824217885632e-05,4.41910292454005e-06
"PT","Soil",0.00241280071197401,0.000762512152607648
"PT","Soil (MP)",0.000285636180003753,7.05343741298145e-05
"PT","Subsurface soil (MP)",5.59916675837036e-05,1.90515794590829e-05
"RO","Coastal and ocean water",1.38136939981402e-06,3.41906191422917e-07
"RO","Coastal and ocean water (MP)",3.45494185920415e-06,3.3679957835708e-06
"RO","Fresh water",1.67680331397754e-05,5.06032190602943e-06
"RO","Fresh water (MP)",1.26658814470673e-05,5.59009536720822e-06
"RO","Soil",0.00435295225857225,0.00125627484785011
"RO","Soil (MP)",0.000300890858661655,7.97489297845178e-05
"RO","Subsurface soil (MP)",8.39208597975287e-05,3.14792241452845e-05
"SE","Coastal and ocean water",4.07407099814223e-05,1.12536438090137e-05
"SE","Coastal and ocean water (MP)",2.03622404569248e-05,5.38474387435676e-06
"SE","Fresh water",2.08208829336034e-06,8.48729929358504e-07
"SE","Fresh water (MP)",1.27557756119122e-05,5.47340897627316e-06
"SE","Soil",0.000510157309977958,0.000129238993338761
"SE","Soil (MP)",0.00035976080982138,6.38563718880311e-05
"SE","Subsurface soil (MP)",4.01176439390194e-05,1.56378957911746e-05
"SI","Coastal and ocean water",8.67966977594137e-07,2.89888238591056e-07
"SI","Coastal and ocean water (MP)",1.99775313997959e-06,2.13902462382008e-06
"SI","Fresh water",1.90253030770814e-05,7.10630866213543e-06
"SI","Fresh water (MP)",1.37033804435797e-05,5.04326664401709e-06
"SI","Soil",0.00109765653330128,0.0003160056254559
"SI","Soil (MP)",0.00029984682592066,8.0826495590976e-05
"SI","Subsurface soil (MP)",4.16895541168064e-05,1.6770285191409e-05
"SK","Coastal and ocean water",0,0
"SK","Coastal and ocean water (MP)",0,0
"SK","Fresh water",6.6357141257389e-05,2.55191172001712e-05
"SK","Fresh water (MP)",1.05241672612783e-05,4.39585896571101e-06
"SK","Soil",0.00224279961294053,0.000724591672793043
"SK","Soil (MP)",0.000304245363594922,5.67004985740157e-05
"SK","Subsurface soil (MP)",3.36008754684362e-05,1.32914871070904e-05
"UK","Coastal and ocean water",2.46300154726084e-05,7.39691722620204e-06
"UK","Coastal and ocean water (MP)",2.37979669725773e-05,1.03216874897028e-05
"UK","Fresh water",2.07760822765384e-05,6.74767484308468e-06
"UK","Fresh water (MP)",2.19319262643173e-05,7.8408630422804e-06
"UK","Soil",0.00159812750176851,0.000469453539708951
"UK","Soil (MP)",0.000294048941068034,7.8421975904461e-05
"UK","Subsurface soil (MP)",6.13313304826068e-05,2.46070446295608e-05
