"prod","dest","mean","sd"
"OtherTechnicalTextiles","Subsurface soil (MP)",NA,NA
"OtherTechnicalTextiles","Coastal and ocean water",NA,NA
"OtherTechnicalTextiles","Coastal and ocean water (MP)",NA,NA
"Post-consumer processes","Soil",0.000611642666633978,0.000257736518730627
"Post-consumer processes","Soil (MP)",0.000157171223074806,5.35188247419791e-05
"Post-consumer processes","Fresh water",0,0
"Post-consumer processes","Fresh water (MP)",1.18388108190417e-05,5.45496101273761e-06
"Post-consumer processes","Subsurface soil (MP)",5.43266490802562e-05,2.84524039971744e-05
"Post-consumer processes","Coastal and ocean water",0,0
"Post-consumer processes","Coastal and ocean water (MP)",1.49556037375163e-05,1.13226229260132e-05
