"prod","dest","mean","sd"
"AgriculturalFilms","Subsurface soil (MP)",0,0
"AgriculturalFilms","Coastal and ocean water",0,0
"AgriculturalFilms","Coastal and ocean water (MP)",0,0
"AgriculturalPipes","Soil",0.0301272213907745,0.00991223059439732
"AgriculturalPipes","Soil (MP)",0.00102728369355363,0.000224192665110714
"AgriculturalPipes","Fresh water",1.53704265054978e-06,4.72666087639214e-07
"AgriculturalPipes","Fresh water (MP)",0,0
"AgriculturalPipes","Subsurface soil (MP)",0,0
"AgriculturalPipes","Coastal and ocean water",0,0
"AgriculturalPipes","Coastal and ocean water (MP)",0,0
"AgriculturalOther","Soil",0.020889381702378,0.00732166172582255
"AgriculturalOther","Soil (MP)",0.00102888820799832,0.000293305703434744
"AgriculturalOther","Fresh water",1.53493895422496e-06,6.20882153837673e-07
"AgriculturalOther","Fresh water (MP)",0,0
"AgriculturalOther","Subsurface soil (MP)",0,0
"AgriculturalOther","Coastal and ocean water",0,0
"AgriculturalOther","Coastal and ocean water (MP)",0,0
"Household","Soil",0.000332927362550814,8.29960569144753e-05
"Household","Soil (MP)",0.000450276286558937,0.000146265181071964
"Household","Fresh water",1.52819467473527e-06,4.22556176425304e-07
"Household","Fresh water (MP)",1.03359224182622e-05,4.09129878784183e-06
"Household","Subsurface soil (MP)",1.35179709551804e-05,5.86819550914046e-06
"Household","Coastal and ocean water",0,0
"Household","Coastal and ocean water (MP)",0,0
"TamponApplicators","Soil",0.139384485600312,0.0816196467582419
"TamponApplicators","Soil (MP)",0,0
"TamponApplicators","Fresh water",0.0046214339231441,0.00339641045091998
"TamponApplicators","Fresh water (MP)",0,0
"TamponApplicators","Subsurface soil (MP)",0,0
"TamponApplicators","Coastal and ocean water",0,0
"TamponApplicators","Coastal and ocean water (MP)",0,0
"Furniture","Soil",0.000298563528911105,8.9391169591724e-05
"Furniture","Soil (MP)",0,0
"Furniture","Fresh water",1.52566185941888e-06,4.57060785890013e-07
"Furniture","Fresh water (MP)",0,0
"Furniture","Subsurface soil (MP)",0,0
"Furniture","Coastal and ocean water",0,0
"Furniture","Coastal and ocean water (MP)",0,0
"FabricCoatings","Soil",0.000299850807135028,0.000171267500144206
"FabricCoatings","Soil (MP)",0.00671928471565201,0.0013936384613023
"FabricCoatings","Fresh water",1.54529684366776e-06,8.89210475940358e-07
"FabricCoatings","Fresh water (MP)",0.000574172620689096,0.000236635427872718
"FabricCoatings","Subsurface soil (MP)",0.000390676756543789,0.000259640180780205
"FabricCoatings","Coastal and ocean water",0,0
"FabricCoatings","Coastal and ocean water (MP)",0,0
"Cosmetics","Soil",0,0
"Cosmetics","Soil (MP)",0.325673195665953,0.0554478376530769
"Cosmetics","Fresh water",0,0
"Cosmetics","Fresh water (MP)",0.0361414959352778,0.0307600625025791
"Cosmetics","Subsurface soil (MP)",0.141833429438236,0.0681895792974539
"Cosmetics","Coastal and ocean water",0,0
"Cosmetics","Coastal and ocean water (MP)",0,0
"ShotgunCartridges","Soil",0.613028025832986,0.224358585735385
"ShotgunCartridges","Soil (MP)",0,0
"ShotgunCartridges","Fresh water",0.0985672170037909,0.0407442534589763
"ShotgunCartridges","Fresh water (MP)",0,0
"ShotgunCartridges","Subsurface soil (MP)",0,0
"ShotgunCartridges","Coastal and ocean water",0,0
"ShotgunCartridges","Coastal and ocean water (MP)",0,0
"OtherOther","Soil",0.000299299706927408,8.64304941479226e-05
"OtherOther","Soil (MP)",0,0
"OtherOther","Fresh water",1.53159808528658e-06,4.4028525878442e-07
"OtherOther","Fresh water (MP)",0,0
"OtherOther","Subsurface soil (MP)",0,0
"OtherOther","Coastal and ocean water",0,0
"OtherOther","Coastal and ocean water (MP)",0,0
"FishingGearOcean","Soil",NA,NA
