Hoi,Text_LDPE,Text_HDPE,Text_PP,Text_PS,Text_EPS,Text_PVC,Text_PET,Text_Plastic,Text_AllPE,Text_AllPS,Width_LDPE,Width_HDPE,Width_PP,Width_PS,Width_EPS,Width_PVC,Width_PET,Width_Plastic,Width_AllPE,Width_AllPS
Storm water and wastewater to Sludge amended soil,0.0432$\pm$0.058,7.28$\pm$8.1,7.71$\pm$8.5,0.0139$\pm$0.018,0.00313$\pm$0.0044,0.00595$\pm$0.0083,7.29$\pm$8.6,22.3$\pm$15,7.32$\pm$8.1,0.0000171$\pm$0.000019,1,2,2,1,1,1,2,4,2,1
Storm water and wastewater (MP) to Compost (MP),1.38$\pm$0.68,3.84$\pm$1.8,16$\pm$7.2,0.636$\pm$0.31,0.00501$\pm$0.003,5.07$\pm$2.3,7.67$\pm$3,34.6$\pm$8.4,5.22$\pm$1.9,0.000641$\pm$0.00031,2,2,4,1,1,2,2,4,2,1
Storm water and wastewater (MP) to Soil (MP),0.465$\pm$0.36,1.32$\pm$0.96,5.22$\pm$4,0.21$\pm$0.16,0.00392$\pm$0.0023,1.63$\pm$1.3,2.56$\pm$1.8,11.4$\pm$4.7,2$\pm$1,0.000214$\pm$0.00016,1,2,2,1,1,2,2,4,2,1
Storm water and wastewater (MP) to Fresh water (MP),0.206$\pm$0.2,0.583$\pm$0.56,2.31$\pm$2.3,0.0915$\pm$0.092,0.00173$\pm$0.0012,1.25$\pm$0.81,1.12$\pm$1.1,5.56$\pm$2.7,0.789$\pm$0.59,0.0000933$\pm$0.000092,1,1,2,1,1,2,2,2,1,1
Storm water and wastewater (MP) to Landfill,0.22$\pm$0.12,0.615$\pm$0.3,2.55$\pm$1.2,0.101$\pm$0.052,0.000797$\pm$0.00051,0.809$\pm$0.4,1.22$\pm$0.53,5.51$\pm$1.4,0.835$\pm$0.33,0.000102$\pm$0.000052,1,1,2,1,1,1,2,2,1,1
Storm water and wastewater (MP) to Sludge amended soil (MP),1.91$\pm$0.91,5.3$\pm$2.3,22$\pm$9.6,0.874$\pm$0.41,0.00691$\pm$0.0041,6.98$\pm$3.1,10.5$\pm$4,47.6$\pm$11,7.21$\pm$2.5,0.00088$\pm$0.00041,2,2,4,1,1,2,4,4,2,1
On-the-go consumption to Waste collection and recycling,190$\pm$120,355$\pm$190,700$\pm$390,106$\pm$61,0$\pm$0,84.1$\pm$46,1890$\pm$1100,3330$\pm$1200,545$\pm$220,0.106$\pm$0.061,6,6,6,6,0,4,8,8,6,6
On-the-go consumption to Litter,40.7$\pm$29,76.5$\pm$50,151$\pm$100,22.8$\pm$16,0$\pm$0,18.2$\pm$12,410$\pm$290,720$\pm$320,117$\pm$59,0.0228$\pm$0.016,4,4,6,4,0,4,6,6,6,4
Litter to Waste collection and recycling,146$\pm$72,215$\pm$94,256$\pm$120,47.6$\pm$23,76.8$\pm$55,152$\pm$100,436$\pm$280,1330$\pm$350,361$\pm$120,0.124$\pm$0.059,6,6,6,4,4,6,6,8,6,6
Litter to Storm water and wastewater,1.04$\pm$0.88,1.2$\pm$0.97,1.56$\pm$1.3,0.338$\pm$0.28,0.0767$\pm$0.071,0.143$\pm$0.13,3.05$\pm$3,7.4$\pm$3.6,2.24$\pm$1.3,0.000415$\pm$0.00028,2,2,2,1,1,1,2,2,2,1
Litter to Soil,22.5$\pm$12,40.6$\pm$25,47.5$\pm$26,8.41$\pm$4.5,22.2$\pm$21,46.3$\pm$40,67.2$\pm$53,255$\pm$79,63$\pm$27,0.0306$\pm$0.021,4,4,4,2,4,4,4,6,4,4
Litter to Fresh water,0.0454$\pm$0.035,0.0531$\pm$0.039,0.0733$\pm$0.055,0.0161$\pm$0.011,0.00336$\pm$0.0028,0.00776$\pm$0.0055,0.134$\pm$0.12,0.333$\pm$0.15,0.0985$\pm$0.052,0.0000194$\pm$0.000012,1,1,1,1,1,1,1,1,1,1
Litter to Coastal and ocean water,0.0775$\pm$0.058,0.0937$\pm$0.067,0.13$\pm$0.093,0.0281$\pm$0.019,0.00552$\pm$0.0046,0.0142$\pm$0.0097,0.251$\pm$0.21,0.601$\pm$0.25,0.171$\pm$0.089,0.0000336$\pm$0.000019,1,1,1,1,1,1,1,1,1,1
Dumping to Litter,32.1$\pm$12,36.2$\pm$15,61.1$\pm$20,18.6$\pm$6.4,2.7$\pm$1.2,13.3$\pm$5.2,46.6$\pm$17,211$\pm$33,68.3$\pm$19,0.0213$\pm$0.0065,4,4,4,4,2,4,4,6,4,4
Unintended C&D waste to Waste collection and recycling,16.5$\pm$13,0.57$\pm$0.44,0$\pm$0,0$\pm$0,89.4$\pm$68,47.6$\pm$33,0$\pm$0,154$\pm$77,17$\pm$13,0.0894$\pm$0.068,4,1,0,0,4,4,0,6,4,4
Unintended C&D waste to Soil,0.208$\pm$0.2,0.00723$\pm$0.0069,0$\pm$0,0$\pm$0,1.03$\pm$0.92,0.597$\pm$0.53,0$\pm$0,1.84$\pm$1.1,0.215$\pm$0.2,0.00103$\pm$0.00092,1,1,0,0,2,1,0,2,1,2
