Hoi,Text_LDPE,Text_HDPE,Text_PP,Text_PS,Text_EPS,Text_PVC,Text_PET,Text_Plastic,Text_AllPE,Text_AllPS,Width_LDPE,Width_HDPE,Width_PP,Width_PS,Width_EPS,Width_PVC,Width_PET,Width_Plastic,Width_AllPE,Width_AllPS
Waste collection and recycling to Litter,1530$\pm$840,4200$\pm$3200,2290$\pm$1500,0$\pm$0,4590$\pm$3500,8530$\pm$6600,530$\pm$410,21700$\pm$8300,5740$\pm$3300,4.59$\pm$3.5,8,8,8,0,8,8,6,10,8,8
Waste collection and recycling to Soil (MP),13.4$\pm$7.7,33.3$\pm$19,123$\pm$80,6.05$\pm$3.5,0.847$\pm$0.82,39.3$\pm$25,4.86$\pm$2.2,221$\pm$86,46.7$\pm$21,0.0069$\pm$0.0036,4,4,6,2,1,4,2,6,4,2
Waste collection and recycling to Soil,44.8$\pm$22,51.2$\pm$27,81.1$\pm$40,22.6$\pm$12,4.54$\pm$2.3,18.1$\pm$9.6,65.4$\pm$31,288$\pm$62,96.1$\pm$35,0.0271$\pm$0.012,4,4,4,4,2,4,4,6,4,4
Waste collection and recycling to Air (MP),11.5$\pm$7.5,29.4$\pm$19,118$\pm$79,5.19$\pm$3.4,0$\pm$0,37.4$\pm$25,0.00469$\pm$0.0031,202$\pm$86,40.9$\pm$21,0.00519$\pm$0.0034,4,4,6,2,0,4,1,6,4,2
Waste collection and recycling to Landfill,144000$\pm$50000,193000$\pm$61000,283000$\pm$85000,74200$\pm$24000,13800$\pm$4900,57000$\pm$21000,195000$\pm$65000,960000$\pm$140000,337000$\pm$79000,88$\pm$25,10,10,10,10,10,10,10,10,10,10
Waste collection and recycling to Reuse,40500$\pm$16000,60500$\pm$23000,116000$\pm$34000,14000$\pm$7400,10200$\pm$7100,40100$\pm$17000,95500$\pm$27000,377000$\pm$55000,101000$\pm$28000,24.2$\pm$10,10,10,10,10,10,10,10,10,10,10
Waste collection and recycling to End-of-life,375000$\pm$100000,528000$\pm$140000,762000$\pm$170000,177000$\pm$49000,252000$\pm$95000,565000$\pm$180000,461000$\pm$130000,3120000$\pm$340000,902000$\pm$170000,428$\pm$110,10,10,10,10,10,10,10,10,10,10
Storm water and wastewater to Waste collection and recycling,25.1$\pm$26,887$\pm$730,940$\pm$770,7.42$\pm$7.3,2.02$\pm$2.3,2.31$\pm$2.7,909$\pm$800,2770$\pm$1400,912$\pm$730,0.00944$\pm$0.0077,4,6,6,2,2,2,6,8,6,2
Storm water and wastewater to Fresh water,17.7$\pm$16,30.5$\pm$21,34$\pm$23,5.19$\pm$4.6,1.43$\pm$1.4,1.62$\pm$1.7,50.3$\pm$41,141$\pm$55,48.2$\pm$26,0.00662$\pm$0.0048,4,4,4,2,2,2,4,6,4,2
Storm water and wastewater to End-of-life,0.515$\pm$0.7,17.9$\pm$21,19.1$\pm$22,0.148$\pm$0.19,0.0415$\pm$0.059,0.0462$\pm$0.068,18.3$\pm$21,56$\pm$39,18.4$\pm$21,0.00019$\pm$0.0002,1,4,4,1,1,1,4,4,4,1
