Hoi,Text_LDPE,Text_HDPE,Text_PP,Text_PS,Text_EPS,Text_PVC,Text_PET,Text_Plastic,Text_AllPE,Text_AllPS,Width_LDPE,Width_HDPE,Width_PP,Width_PS,Width_EPS,Width_PVC,Width_PET,Width_Plastic,Width_AllPE,Width_AllPS
Air to Fresh water (MP),0.356$\pm$0.3,0.953$\pm$0.78,4.45$\pm$3.4,0.296$\pm$0.26,0.563$\pm$0.42,3.47$\pm$2.6,6.99$\pm$7.2,17.1$\pm$8.8,1.31$\pm$0.83,0.000859$\pm$0.00049,1,1,2,1,1,2,2,4,2,1
Air to Coastal and ocean water (MP),0.101$\pm$0.097,0.267$\pm$0.25,1.25$\pm$1.1,0.0854$\pm$0.087,0.16$\pm$0.14,0.985$\pm$0.87,1.98$\pm$2.4,4.82$\pm$2.9,0.368$\pm$0.27,0.000245$\pm$0.00016,1,1,2,1,1,1,2,2,1,1
Organic waste collection to Compost,3.75$\pm$2.5,2.25$\pm$1.6,5.02$\pm$3.6,0.599$\pm$0.42,0.0808$\pm$0.057,0.506$\pm$0.35,2.06$\pm$1.5,14.3$\pm$4.9,6$\pm$3,0.00068$\pm$0.00042,2,2,2,1,1,1,2,4,2,1
Organic waste collection to Compost (MP),3.16$\pm$2.3,1.88$\pm$1.4,4.22$\pm$3.2,0.507$\pm$0.38,0.0672$\pm$0.05,0.428$\pm$0.31,1.71$\pm$1.3,12$\pm$4.4,5.04$\pm$2.7,0.000575$\pm$0.00038,2,2,2,1,1,1,2,4,2,1
Organic waste collection to End-of-life,583$\pm$210,347$\pm$150,781$\pm$320,93$\pm$37,12.5$\pm$5,78.6$\pm$30,319$\pm$140,2210$\pm$430,930$\pm$260,0.106$\pm$0.038,6,6,6,4,4,4,6,8,6,6
Compost to Soil,3.8$\pm$2.5,30$\pm$31,34.8$\pm$35,0.614$\pm$0.42,0.0841$\pm$0.058,0.512$\pm$0.35,30.2$\pm$34,100$\pm$60,33.8$\pm$31,0.000698$\pm$0.00043,2,4,4,1,1,1,4,4,4,1
Compost (MP) to Soil (MP),11.3$\pm$4.4,23.9$\pm$9.9,90.2$\pm$39,3.94$\pm$1.7,0.0955$\pm$0.054,28.4$\pm$13,41.8$\pm$16,200$\pm$46,35.1$\pm$11,0.00404$\pm$0.0017,4,4,4,2,1,4,4,6,4,2
Total to Soil (MP),185$\pm$75,82.4$\pm$23,188$\pm$66,8.52$\pm$3.1,3.98$\pm$1.7,97.4$\pm$26,93.3$\pm$37,658$\pm$110,268$\pm$78,0.0125$\pm$0.0035,6,4,6,2,2,4,4,6,6,4
Total to Fresh water (MP),0.804$\pm$0.33,1.75$\pm$0.86,5.57$\pm$3.7,0.341$\pm$0.26,0.566$\pm$0.42,4.47$\pm$2.7,7.49$\pm$7.3,21$\pm$9,2.56$\pm$0.91,0.000907$\pm$0.0005,1,2,2,1,1,2,2,4,2,1
Total to Soil,71.8$\pm$29,137$\pm$69,193$\pm$82,17.9$\pm$9.8,55.8$\pm$51,113$\pm$93,254$\pm$160,842$\pm$220,209$\pm$75,0.0736$\pm$0.052,4,6,6,4,4,6,6,6,6,4
Total to Fresh water,0.38$\pm$0.28,0.559$\pm$0.41,0.699$\pm$0.53,0.0975$\pm$0.089,0.421$\pm$0.38,0.0433$\pm$0.046,1.24$\pm$1.2,3.44$\pm$1.4,0.939$\pm$0.5,0.000518$\pm$0.00039,1,1,1,1,1,1,2,2,1,1
Total to Coastal and ocean water,22.7$\pm$11,24.8$\pm$12,8.77$\pm$3.5,0.741$\pm$0.59,0.254$\pm$0.17,0.333$\pm$0.31,9.4$\pm$7.9,67.1$\pm$18,47.6$\pm$16,0.000995$\pm$0.00062,4,4,2,1,1,1,2,4,4,1
Total to Coastal and ocean water (MP),4.37$\pm$1.1,6.07$\pm$2,10.4$\pm$6.8,0.401$\pm$0.28,0.168$\pm$0.14,6.52$\pm$3.1,5.63$\pm$3.9,33.5$\pm$8.8,10.4$\pm$2.3,0.000569$\pm$0.00032,2,2,4,1,1,2,2,4,4,1
Total to Landfill,994$\pm$330,1240$\pm$400,1930$\pm$570,517$\pm$170,88.4$\pm$31,408$\pm$140,1330$\pm$420,6510$\pm$900,2240$\pm$520,0.605$\pm$0.17,6,8,8,6,4,6,8,8,8,6
Total to Sludge amended soil,0.0695$\pm$0.092,41.9$\pm$46,44.8$\pm$51,0.0231$\pm$0.03,0.00489$\pm$0.0069,0.0103$\pm$0.016,42.3$\pm$50,129$\pm$89,41.9$\pm$46,0.000028$\pm$0.000031,1,4,4,1,1,1,4,6,4,1
Total to Sludge amended soil (MP),12.2$\pm$5.5,33.2$\pm$14,130$\pm$56,5.21$\pm$2.4,0.0427$\pm$0.024,42.4$\pm$18,60.7$\pm$22,284$\pm$66,45.4$\pm$15,0.00525$\pm$0.0024,4,4,6,2,1,4,4,6,4,2
External to Import,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,1
External to Production,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,1,1,1
External to Pre-consumer processes,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
External to Consumer packaging,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
