Hoi,Text_LDPE,Text_HDPE,Text_PP,Text_PS,Text_EPS,Text_PVC,Text_PET,Text_Plastic,Text_AllPE,Text_AllPS,Width_LDPE,Width_HDPE,Width_PP,Width_PS,Width_EPS,Width_PVC,Width_PET,Width_Plastic,Width_AllPE,Width_AllPS
Household textiles to Waste collection and recycling,0$\pm$0,22.8$\pm$9.6,2550$\pm$850,0$\pm$0,0$\pm$0,0$\pm$0,7840$\pm$2400,10400$\pm$2500,22.8$\pm$9.6,0$\pm$0,0,4,8,0,0,0,8,10,4,0
Household textiles to Storm water and wastewater (MP),0$\pm$0,0.0142$\pm$0.0062,1.59$\pm$0.55,0$\pm$0,0$\pm$0,0$\pm$0,4.88$\pm$1.6,6.48$\pm$1.7,0.0142$\pm$0.0062,0$\pm$0,0,1,2,0,0,0,2,2,1,0
Household textiles to Dumping,0$\pm$0,0.033$\pm$0.021,3.74$\pm$1.9,0$\pm$0,0$\pm$0,0$\pm$0,11.4$\pm$5.3,15.2$\pm$5.6,0.033$\pm$0.021,0$\pm$0,0,1,2,0,0,0,4,4,1,0
Household textiles to Indoor air (MP),0$\pm$0,0.0403$\pm$0.038,4.49$\pm$4,0$\pm$0,0$\pm$0,0$\pm$0,13.9$\pm$12,18.4$\pm$15,0.0403$\pm$0.038,0$\pm$0,0,1,2,0,0,0,4,4,1,0
Household textiles to Air (MP),0$\pm$0,0.00202$\pm$0.0016,0.226$\pm$0.17,0$\pm$0,0$\pm$0,0$\pm$0,0.695$\pm$0.51,0.923$\pm$0.65,0.00202$\pm$0.0016,0$\pm$0,0,1,1,0,0,0,1,1,1,0
Other products to Waste collection and recycling,16700$\pm$6900,16800$\pm$6800,48700$\pm$16000,20000$\pm$6900,1350$\pm$560,22600$\pm$8700,5650$\pm$2900,132000$\pm$22000,33500$\pm$9800,21.4$\pm$7,10,10,10,10,8,10,8,10,10,10
Other products to Storm water and wastewater (MP),0$\pm$0,0$\pm$0,0$\pm$0,0$\pm$0,0$\pm$0,12.9$\pm$7.5,0$\pm$0,12.9$\pm$7.5,0$\pm$0,0$\pm$0,0,0,0,0,0,4,0,4,0,0
Other products to Dumping,24.5$\pm$14,24.4$\pm$13,69.2$\pm$33,31.7$\pm$14,1.98$\pm$1.1,34$\pm$16,6.76$\pm$4.9,192$\pm$44,48.9$\pm$19,0.0336$\pm$0.014,4,4,4,4,2,4,2,6,4,4
Other products to Organic waste collection,7.63$\pm$3.8,18.5$\pm$9.2,20.8$\pm$10,14.5$\pm$7.2,3.15$\pm$1.6,13.2$\pm$6.6,0.642$\pm$0.33,78.3$\pm$18,26.1$\pm$10,0.0176$\pm$0.0074,2,4,4,4,2,4,1,4,4,4
Other products to Soil (MP),0$\pm$0,0$\pm$0,0$\pm$0,0$\pm$0,0$\pm$0,8.67$\pm$4.9,0$\pm$0,8.67$\pm$4.9,0$\pm$0,0$\pm$0,0,0,0,0,0,2,0,2,0,0
Other products to Soil,0.641$\pm$0.4,0$\pm$0,0$\pm$0,0$\pm$0,0$\pm$0,0$\pm$0,0$\pm$0,0.641$\pm$0.4,0.641$\pm$0.4,0$\pm$0,1,0,0,0,0,0,0,1,1,0
Other products to Indoor air (MP),1.58$\pm$0.98,3.86$\pm$2.4,4.32$\pm$2.7,3.03$\pm$1.9,0.659$\pm$0.41,7.08$\pm$3.9,0.134$\pm$0.084,20.7$\pm$5.7,5.44$\pm$2.6,0.00369$\pm$0.0019,2,2,2,2,1,2,1,4,2,2
Other products to Air (MP),0$\pm$0,0$\pm$0,0$\pm$0,0$\pm$0,0$\pm$0,8.59$\pm$5.6,0$\pm$0,8.59$\pm$5.6,0$\pm$0,0$\pm$0,0,0,0,0,0,2,0,2,0,0
Other products to Export,81.8$\pm$45,76.2$\pm$42,2780$\pm$1500,1610$\pm$900,0$\pm$0,651$\pm$360,0.297$\pm$0.16,5200$\pm$1800,158$\pm$62,1.61$\pm$0.9,4,4,8,8,0,6,1,8,6,8
Other products to Fresh water,0.103$\pm$0.068,0$\pm$0,0$\pm$0,0$\pm$0,0$\pm$0,0$\pm$0,0$\pm$0,0.103$\pm$0.068,0.103$\pm$0.068,0$\pm$0,1,0,0,0,0,0,0,1,1,0
Fishing gear to Waste collection and recycling,599$\pm$96,602$\pm$96,270$\pm$43,0$\pm$0,0$\pm$0,0$\pm$0,0$\pm$0,1470$\pm$140,1200$\pm$140,0$\pm$0,6,6,6,0,0,0,0,8,8,0
