Hoi,Text_LDPE,Text_HDPE,Text_PP,Text_PS,Text_EPS,Text_PVC,Text_PET,Text_Plastic,Text_AllPE,Text_AllPS,Width_LDPE,Width_HDPE,Width_PP,Width_PS,Width_EPS,Width_PVC,Width_PET,Width_Plastic,Width_AllPE,Width_AllPS
Other products to Soil (MP),0$\pm$0,0$\pm$0,0$\pm$0,0$\pm$0,0$\pm$0,1.41$\pm$0.8,0$\pm$0,1.41$\pm$0.8,0$\pm$0,0$\pm$0,0,0,0,0,0,2,0,2,0,0
Other products to Soil,0.104$\pm$0.064,0$\pm$0,0$\pm$0,0$\pm$0,0$\pm$0,0$\pm$0,0$\pm$0,0.104$\pm$0.064,0.104$\pm$0.064,0$\pm$0,1,0,0,0,0,0,0,1,1,0
Other products to Indoor air (MP),0.258$\pm$0.16,0.614$\pm$0.38,0.699$\pm$0.44,0.489$\pm$0.3,0.105$\pm$0.066,1.15$\pm$0.63,0.0218$\pm$0.013,3.33$\pm$0.92,0.872$\pm$0.41,0.000595$\pm$0.00031,1,1,1,1,1,2,1,2,1,1
Other products to Air (MP),0$\pm$0,0$\pm$0,0$\pm$0,0$\pm$0,0$\pm$0,1.39$\pm$0.91,0$\pm$0,1.39$\pm$0.91,0$\pm$0,0$\pm$0,0,0,0,0,0,2,0,2,0,0
Other products to Export,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Other products to Fresh water,0.0168$\pm$0.011,0$\pm$0,0$\pm$0,0$\pm$0,0$\pm$0,0$\pm$0,0$\pm$0,0.0168$\pm$0.011,0.0168$\pm$0.011,0$\pm$0,1,0,0,0,0,0,0,1,1,0
Fishing gear to Waste collection and recycling,5.07$\pm$0.67,5.08$\pm$0.67,2.22$\pm$0.3,0$\pm$0,0$\pm$0,0$\pm$0,0$\pm$0,10$\pm$1,10.1$\pm$0.95,0$\pm$0,2,2,2,0,0,0,0,4,4,0
Fishing gear to Fresh water (MP),0.00147$\pm$0.00045,0.00147$\pm$0.00046,0.000643$\pm$0.0002,0$\pm$0,0$\pm$0,0$\pm$0,0$\pm$0,0.00358$\pm$0.00067,0.00294$\pm$0.00064,0$\pm$0,1,1,1,0,0,0,0,1,1,0
Fishing gear to Coastal and ocean water,0.0189$\pm$0.011,0.019$\pm$0.011,0.0033$\pm$0.00093,0$\pm$0,0$\pm$0,0$\pm$0,0$\pm$0,0.0412$\pm$0.015,0.0379$\pm$0.015,0$\pm$0,1,1,1,0,0,0,0,1,1,0
Fishing gear to Coastal and ocean water (MP),0.00296$\pm$0.00092,0.00297$\pm$0.00093,0.00131$\pm$0.0004,0$\pm$0,0$\pm$0,0$\pm$0,0$\pm$0,0.00725$\pm$0.0013,0.00594$\pm$0.0013,0$\pm$0,1,1,1,0,0,0,0,1,1,0
Waste collection and recycling to Storm water and wastewater (MP),2.37$\pm$1.4,6.05$\pm$3.6,22.9$\pm$14,1.04$\pm$0.63,0.016$\pm$0.0075,7.11$\pm$4.5,0.602$\pm$0.28,40.1$\pm$16,8.41$\pm$3.8,0.00105$\pm$0.00063,2,2,4,2,1,2,1,4,2,2
